name,company,salary_min,salary_max,link,site
Data Scientist - NLP Engineer, WorldQuant,0,0,https://hh.ru/vacancy/34194682,HeadHunter
Математик/ Junior Data Scientist, SCORISTA,0,0,https://hh.ru/vacancy/34182482,HeadHunter
Data Scientist at Sberbank Corporate, Сбербанк для экспертов,0,0,https://hh.ru/vacancy/33749444,HeadHunter
IT руководитель команды (направление Data Science),ООО Центр недвижимости от Сбербанка,0,0,https://hh.ru/vacancy/33975505,HeadHunter
Data Scientist, ЭР-Телеком,0,0,https://hh.ru/vacancy/30758063,HeadHunter
"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,150000,0,https://hh.ru/vacancy/32765739,HeadHunter
Data Science в RnD,ООО Центр недвижимости от Сбербанка,0,0,https://hh.ru/vacancy/33860155,HeadHunter
Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,0,0,https://hh.ru/vacancy/33903019,HeadHunter
Data Scientist, Plarium,0,0,https://hh.ru/vacancy/32113789,HeadHunter
Аналитик данных (Data Scientist),ООО Корвет Девелопмент,0,0,https://hh.ru/vacancy/34064851,HeadHunter
Machine Learning Engineer, HARMAN Connected Services,0,0,https://hh.ru/vacancy/34186954,HeadHunter
Senior data scientist, Билайн,0,0,https://hh.ru/vacancy/33810925,HeadHunter
Lead data science, ПИК-БРОКЕР,200000,250000,https://hh.ru/vacancy/34032250,HeadHunter
Data Manager, PSI Co Ltd.,0,0,https://hh.ru/vacancy/34193685,HeadHunter
Data science, Тесуджи,200000,0,https://hh.ru/vacancy/33789276,HeadHunter
Python Data Scientist, Web Interactive World,150000,0,https://hh.ru/vacancy/33840192,HeadHunter
Quantitative Researcher,ООО КВАНТПОРТРУС,300000,0,https://hh.ru/vacancy/29014173,HeadHunter
Руководитель направления по исследованию данных(Data Scientist), Сбербанк для экспертов,0,0,https://hh.ru/vacancy/33747160,HeadHunter
Head of Data Science, PROFI.RU,0,0,https://hh.ru/vacancy/33997029,HeadHunter
"Экономист-математик (IO, эконометрика/data science)", Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60000,130000,https://hh.ru/vacancy/31258061,HeadHunter
Data scientist, Билайн,0,0,https://hh.ru/vacancy/33418971,HeadHunter
Data Science (gamedev), Panoramik,0,0,https://hh.ru/vacancy/31460069,HeadHunter
Data Scientist," Wargaming, Minsk (Game Stream)",0,0,https://hh.ru/vacancy/34189074,HeadHunter
Аналитик в финансовый департамент, ID Finance,120000,0,https://hh.ru/vacancy/34004146,HeadHunter
Data Scientist, KPMG,0,0,https://hh.ru/vacancy/34179232,HeadHunter
Data Scientist, GFAIVE,150000,0,https://hh.ru/vacancy/34139725,HeadHunter
Руководитель по аналитике (Data Scientist), Альфа Капитал,0,0,https://hh.ru/vacancy/34009403,HeadHunter
Data Science Engineer, Эволента,50000,0,https://hh.ru/vacancy/33735433,HeadHunter
Junior Quantitative Researcher,ООО КВАНТПОРТРУС,250000,250000,https://hh.ru/vacancy/31844648,HeadHunter
Analyst/Data Science Specialist, GfK Rus,0,0,https://hh.ru/vacancy/29609893,HeadHunter
Data Scientist, Консорциум Кодекс,0,130000,https://hh.ru/vacancy/31381678,HeadHunter
Data Scientist," EPAM Systems, Inc.",0,0,https://hh.ru/vacancy/34183768,HeadHunter
"Стажёр(Анализ данных,data science)",ООО САС Институт,0,0,https://hh.ru/vacancy/34061806,HeadHunter
Principal Researcher / Data scientist, Кофакс,0,0,https://hh.ru/vacancy/34189146,HeadHunter
Head of Data Science, ID Finance,0,0,https://hh.ru/vacancy/34081601,HeadHunter
Data scientist [20529], ПАО «Газпром нефть»,0,0,https://hh.ru/vacancy/34190195,HeadHunter
Data Science бизнес-партнер,ООО Центр недвижимости от Сбербанка,0,0,https://hh.ru/vacancy/33787697,HeadHunter
Data Scientist - NLP Engineer, WorldQuant,0,0,https://hh.ru/vacancy/34194682,HeadHunter
Математик/ Junior Data Scientist, SCORISTA,0,0,https://hh.ru/vacancy/34182482,HeadHunter
Data Scientist at Sberbank Corporate, Сбербанк для экспертов,0,0,https://hh.ru/vacancy/33749444,HeadHunter
IT руководитель команды (направление Data Science),ООО Центр недвижимости от Сбербанка,0,0,https://hh.ru/vacancy/33975505,HeadHunter
Data Scientist, ЭР-Телеком,0,0,https://hh.ru/vacancy/30758063,HeadHunter
"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,150000,0,https://hh.ru/vacancy/32765739,HeadHunter
Data Science в RnD,ООО Центр недвижимости от Сбербанка,0,0,https://hh.ru/vacancy/33860155,HeadHunter
Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,0,0,https://hh.ru/vacancy/33903019,HeadHunter
Data Scientist, Plarium,0,0,https://hh.ru/vacancy/32113789,HeadHunter
Аналитик данных (Data Scientist),ООО Корвет Девелопмент,0,0,https://hh.ru/vacancy/34064851,HeadHunter
Machine Learning Engineer, HARMAN Connected Services,0,0,https://hh.ru/vacancy/34186954,HeadHunter
Senior data scientist, Билайн,0,0,https://hh.ru/vacancy/33810925,HeadHunter
Разработчик Python,Цифрасофт,0,0,https://superjob.ru/vakansii/razrabotchik-python-32759255.html,SuperJob
Программист Python,Кадровое решение СПб,0,0,https://superjob.ru/vakansii/programmist-python-32660913.html,SuperJob
Программист Perl / Python,Дом.ru,45000,45000,https://superjob.ru/vakansii/programmist-perl-32783088.html,SuperJob
Старший аудитор (с навыками программирования на Python),Сбербанк России,0,0,https://superjob.ru/vakansii/starshij-auditor-32568543.html,SuperJob
Инженер разработчик ГГИС (на Python),Руссдрагмет,0,0,https://superjob.ru/vakansii/inzhener-razrabotchik-ggis-31852228.html,SuperJob
Программист Python,Не указано,0,0,https://superjob.ru/vakansii/programmist-python-32539725.html,SuperJob
IT преподаватель (Python / Web-дизайн),Хейфец О.О.,20000,30000,https://superjob.ru/vakansii/it-prepodavatel-32525888.html,SuperJob
Программист Python (удалённо),Статус презенс,50000,0,https://superjob.ru/vakansii/programmist-python-32671953.html,SuperJob
Программист на python,НТИМИ,0,0,https://superjob.ru/vakansii/programmist-na-python-31035766.html,SuperJob
Специалист отдела операционного планирования и аналитики продаж,Тинькофф,50000,0,https://superjob.ru/vakansii/specialist-otdela-operacionnogo-planirovaniya-i-analitiki-prodazh-31686638.html,SuperJob
Тестировщик НТ,Сбербанк России,0,0,https://superjob.ru/vakansii/testirovschik-nt-32605237.html,SuperJob
Разработчик Витрин Данных,Сбербанк России,0,0,https://superjob.ru/vakansii/razrabotchik-vitrin-dannyh-32605218.html,SuperJob
Администратор тестовых сред (ведущий инженер),Сбербанк России,0,0,https://superjob.ru/vakansii/administrator-testovyh-sred-32720267.html,SuperJob
Старший back-end разработчик,ВИЗАВИ Консалт,150000,0,https://superjob.ru/vakansii/starshij-back-end-razrabotchik-32566666.html,SuperJob
